dataset,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,second_neighbor_family,C_pc5,hyperplane_residual_raw,PC1,PC2,PC3,PC4,PC5
dataframe000014,100.0,3.0,6.8114195,-0.15266007,-0.011322534,0.0007465863,-1.3975301,-0.17530514,-0.14133754,0.00053393317,$\beta_2$-dominated,0.00027513051967522034,0.00027513051967545014,-1.015499890498684,0.3628751769711343,-0.7470866671397766,-0.399748648317934,0.00027513051967522034
dataframe000014,100.0,3.0,6.8114195,-0.15266007,-0.011322534,0.0007465863,-1.3975301,-0.17530514,-0.14133754,0.00053393317,$\beta_2$-dominated,0.00027513051967522034,0.00027513051967545014,-1.015499890498684,0.3628751769711343,-0.7470866671397766,-0.399748648317934,0.00027513051967522034
dataframe000014,100.0,3.0,6.8114195,-0.15266007,-0.011322534,0.0007465863,-1.3975301,-0.17530514,-0.14133754,0.00053393317,$\beta_2$-dominated,0.00027513051967522034,0.00027513051967545014,-1.015499890498684,0.3628751769711343,-0.7470866671397766,-0.399748648317934,0.00027513051967522034
dataframe000013,70.0,2.8,7.343738,-0.5070451,0.13983855,9.347329e-05,-0.8218309,-0.227368,-0.6468836,0.00011372493,$\beta_2$-dominated,-5.614006926508877e-05,-5.6140069264907166e-05,-0.07973191412194618,0.6119538428142288,-0.03886559985370262,0.320606486130865,-5.614006926508877e-05
dataframe000013,70.0,2.8,7.343738,-0.5070451,0.13983855,9.347329e-05,-0.8218309,-0.227368,-0.6468836,0.00011372493,$\beta_2$-dominated,-5.614006926508877e-05,-5.6140069264907166e-05,-0.07973191412194618,0.6119538428142288,-0.03886559985370262,0.320606486130865,-5.614006926508877e-05
dataframe000013,70.0,2.8,7.343738,-0.5070451,0.13983855,9.347329e-05,-0.8218309,-0.227368,-0.6468836,0.00011372493,$\beta_2$-dominated,-5.614006926508877e-05,-5.6140069264907166e-05,-0.07973191412194618,0.6119538428142288,-0.03886559985370262,0.320606486130865,-5.614006926508877e-05
dataframe000013,70.0,2.8,7.343738,-0.5070451,0.36599427,9.347329e-05,-0.8218309,0.22494346,-0.87303936,0.00011372493,$\beta_2$-dominated,-8.165233197997865e-05,-8.165233197987337e-05,0.2938070981217696,1.1376795179583183,-0.13491608557288426,0.29893424782095174,-8.165233197997865e-05
dataframe000013,70.0,2.8,7.343738,-0.5070451,0.9040011,9.347329e-05,-0.8218309,1.3009572,-1.4110463,0.00011372493,$\beta_2$-dominated,-0.0001422988283517185,-0.00014229882835181445,1.182427291585712,2.3883399310398694,-0.36341273230914295,0.24737765556987712,-0.0001422988283517185
dataframe000015,100.0,2.0,8.955574,-0.7191915,-1.0282377,-1.6010082,0.00025456183,-2.775667,0.3090462,0.99984103,$\alpha_2$-dominated,6.455054242579417e-05,6.455054242637866e-05,0.22435916133052797,-3.2886548020454818,2.2897626438714593,-1.0514689250355254,6.455054242579417e-05
dataframe000015,100.0,2.0,8.955574,-0.7191915,0.9953822,-1.6010082,0.00025456183,1.2715728,-1.7145736,0.99984103,$\alpha_2$-dominated,-0.00016337196236207552,-0.00016337196236171304,3.566750320252821,1.4154880702223345,1.4303119110578286,-1.2453902406136788,-0.00016337196236207552
